epoka 611/1000   błąd=0.058714 
epoka 612/1000   błąd=0.058614 
epoka 613/1000   błąd=0.058506 
epoka 614/1000   błąd=0.058389 
epoka 615/1000   błąd=0.058262 
epoka 616/1000   błąd=0.058123 
epoka 617/1000   błąd=0.057972 
epoka 618/1000   błąd=0.057805 
epoka 619/1000   błąd=0.057622 
epoka 620/1000   błąd=0.057420 
epoka 621/1000   błąd=0.057198 
epoka 622/1000   błąd=0.056953 
epoka 623/1000   błąd=0.056682 
epoka 624/1000   błąd=0.056384 
epoka 625/1000   błąd=0.056056 
epoka 626/1000   błąd=0.055696 
epoka 627/1000   błąd=0.055301 
epoka 628/1000   błąd=0.054869 
epoka 629/1000   błąd=0.054400 
epoka 630/1000   błąd=0.053893 
epoka 631/1000   błąd=0.053348 
epoka 632/1000   błąd=0.052768 
epoka 633/1000   błąd=0.052155 
epoka 634/1000   błąd=0.051514 
epoka 635/1000   błąd=0.050850 
epoka 636/1000   błąd=0.050173 
epoka 637/1000   błąd=0.049488 
epoka 638/1000   błąd=0.048804 
epoka 639/1000   błąd=0.048128 
epoka 640/1000   błąd=0.047469 
epoka 641/1000   błąd=0.046831 
epoka 642/1000   błąd=0.046221 
epoka 643/1000   błąd=0.045642 
epoka 644/1000   błąd=0.045096 
epoka 645/1000   błąd=0.044585 
epoka 646/1000   błąd=0.044109 
epoka 647/1000   błąd=0.043667 
epoka 648/1000   błąd=0.043258 
epoka 649/1000   błąd=0.042881 
epoka 650/1000   błąd=0.042532 
epoka 651/1000   błąd=0.042210 
epoka 652/1000   błąd=0.041913 
epoka 653/1000   błąd=0.041639 
epoka 654/1000   błąd=0.041385 
epoka 655/1000   błąd=0.041150 
epoka 656/1000   błąd=0.040931 
epoka 657/1000   błąd=0.040729 
epoka 658/1000   błąd=0.040540 
epoka 659/1000   błąd=0.040363 
epoka 660/1000   błąd=0.040198 
epoka 661/1000   błąd=0.040044 
epoka 662/1000   błąd=0.039899 
epoka 663/1000   błąd=0.039762 
epoka 664/1000   błąd=0.039634 
epoka 665/1000   błąd=0.039513 
epoka 666/1000   błąd=0.039398 
epoka 667/1000   błąd=0.039290 
epoka 668/1000   błąd=0.039187 
epoka 669/1000   błąd=0.039089 
epoka 670/1000   błąd=0.038997 
epoka 671/1000   błąd=0.038909 
epoka 672/1000   błąd=0.038825 
epoka 673/1000   błąd=0.038744 
epoka 674/1000   błąd=0.038668 
epoka 675/1000   błąd=0.038595 
epoka 676/1000   błąd=0.038525 
epoka 677/1000   błąd=0.038458 
epoka 678/1000   błąd=0.038393 
epoka 679/1000   błąd=0.038332 
epoka 680/1000   błąd=0.038272 
epoka 681/1000   błąd=0.038215 
epoka 682/1000   błąd=0.038161 
epoka 683/1000   błąd=0.038108 
epoka 684/1000   błąd=0.038057 
epoka 685/1000   błąd=0.038008 
epoka 686/1000   błąd=0.037961 
epoka 687/1000   błąd=0.037915 
epoka 688/1000   błąd=0.037871 
epoka 689/1000   błąd=0.037829 
epoka 690/1000   błąd=0.037787 
epoka 691/1000   błąd=0.037747 
epoka 692/1000   błąd=0.037709 
epoka 693/1000   błąd=0.037671 
epoka 694/1000   błąd=0.037635 
epoka 695/1000   błąd=0.037600 
epoka 696/1000   błąd=0.037565 
epoka 697/1000   błąd=0.037532 
epoka 698/1000   błąd=0.037500 
epoka 699/1000   błąd=0.037468 
epoka 700/1000   błąd=0.037438 
epoka 701/1000   błąd=0.037408 
epoka 702/1000   błąd=0.037379 
epoka 703/1000   błąd=0.037351 
epoka 704/1000   błąd=0.037323 
epoka 705/1000   błąd=0.037296 
epoka 706/1000   błąd=0.037270 
epoka 707/1000   błąd=0.037244 
epoka 708/1000   błąd=0.037219 
epoka 709/1000   błąd=0.037195 
epoka 710/1000   błąd=0.037171 
epoka 711/1000   błąd=0.037148 
epoka 712/1000   błąd=0.037125 
epoka 713/1000   błąd=0.037102 
epoka 714/1000   błąd=0.037080 
epoka 715/1000   błąd=0.037059 
epoka 716/1000   błąd=0.037038 
epoka 717/1000   błąd=0.037017 
epoka 718/1000   błąd=0.036997 
epoka 719/1000   błąd=0.036977 
epoka 720/1000   błąd=0.036957 
epoka 721/1000   błąd=0.036938 
epoka 722/1000   błąd=0.036919 
epoka 723/1000   błąd=0.036901 
epoka 724/1000   błąd=0.036882 
epoka 725/1000   błąd=0.036865 
epoka 726/1000   błąd=0.036847 
epoka 727/1000   błąd=0.036829 
epoka 728/1000   błąd=0.036812 
epoka 729/1000   błąd=0.036795 
epoka 730/1000   błąd=0.036779 
epoka 731/1000   błąd=0.036762 
